NAME	GENRE	INDEX	VALUE
§éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn	0	146	1500000000
§Þnh NghiÖp §Çu qu¸n	0	147	1470000
§Þnh NghiÖp ChiÕn bµo	0	148	1480000
§Þnh NghiÖp Yªu ®¸i	0	149	1490000
§Þnh NghiÖp Hé uyÓn	0	150	1500000
§Þnh NghiÖp ChiÕn ngoa	0	151	1510000
§Þnh NghiÖp Ban chØ 	0	152	1520000
§Þnh Quèc §Çu qu¸n	0	153	1530000
§Þnh Quèc ChiÕn bµo	0	154	1540000
§Þnh Quèc Yªu c« 	0	155	1550000
§Þnh Quèc Hé uyÓn	0	156	1560000
§Þnh Quèc ChiÕn ngoa	0	157	1570000
§Þnh Quèc Ban chØ 	0	158	1580000
§Þnh Quèc Thanh Sa Tr­êng Sam	0	159	200000000
§Þnh Quèc ¤ Sa Ph¸t Qu¸n	0	160	300000000
§Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	0	161	80000000
§Þnh Quèc Tö §»ng Hé uyÓn	0	162	100000000
§Þnh Quèc Ng©n Tµm Yªu ®¸i	0	163	80000000
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	164	350000000
An Bang Cóc Hoa Th¹ch ChØ hoµn	0	165	250000000
An Bang §iÒn Hoµng Th¹ch Ngäc Béi	0	166	250000000
An Bang Kª HuyÕt Th¹ch Giíi ChØ 	0	167	250000000
Thiªn Hoµng Long Long §µi	0	168	1680000
Thiªn Hoµng Long B¹ch Long Tøc	0	169	1690000
Thiªn Hoµng Long TrÊn Minh Liªn	0	170	1700000
Thiªn Hoµng Long Cöu HiÖn chØ 	0	171	1710000
Thiªn Hoµng Long Ngäc Tiªu Diªu	0	172	1720000
Thiªn Hoµng Long Hoµng Kim L©n	0	173	1730000
Thiªn Hoµng Long Bµn Long c«i	0	174	1740000
Thiªn Hoµng Long Long Khèc Thiªn Lý 	0	175	1750000
Thiªn Hoµng Long Né Long §ång	0	176	1760000
Kim Phong Thanh D­¬ng Kh«i	0	177	1770000
Kim Phong Kú L©n HuyÕt	0	178	1780000
Kim Phong Tr¹c Liªn Quang	0	179	1790000
Kim Phong C«ng CÈn Tam Th¸n	0	180	1800000
Kim Phong §o¹t Hån Ngäc ®¸i	0	181	1810000
Kim Phong HËu NghÖ dÉn cung	0	182	1820000
Kim Phong Lan §×nh Ngäc	0	183	1830000
Kim Phong Thiªn Lý Th¶o Th­îng Phi	0	184	1840000
Kim Phong §ång T­íc Xu©n Th©m	0	185	1850000
HiÖp Cèt ThiÕt HuyÕt Sam	0	186	1860000
HiÖp Cèt §a T×nh Hoµn	0	187	1870000
HiÖp Cèt §an T©m Giíi	0	188	1880000
HiÖp Cèt T×nh ý KÕt	0	189	1890000
Nhu T×nh C©n Quèc Nghª Th­êng	0	190	1900000
Nhu T×nh Thôc N÷ H¹ng Liªn	0	191	1910000
Nhu T×nh  Phông Nghi Giíi ChØ 	0	192	1920000
Nhu T×nh  TuÖ T©m Ngäc Béi	0	193	1930000
§¹i M· Hæ TrÝch Tinh hoµn	0	194	
§¹i M· Hæ §­êng Nghª gi¸p	0	195	
§¹i M· Hæ Lôc PhØ Thóy Hé Th©n phï 	0	196	
§¹i M· Hæ B¾c Kinh Chi Méng	0	197	
§¹i M· Hæ B¹ch Kim yªu ®¸i	0	198	
§¹i M· Hæ Thiªn Tµm Hé UyÓn	0	199	
§¹i M· Hæ Ngò S¾c Ngäc Béi	0	200	
§¹i M· Hæ Thiªn Tµm Ngoa	0	201	
§¹i M· Hæ Nha §iÓn Chi Hån	0	202	
§¹i M· Hæ B«n L«i Toµn Long th­¬ng	0	203	
Hång ¶nh ThÈm Viªn UyÓn	0	204	
Hång ¶nh KiÕm Bµi	0	205	
Hång ¶nh Môc Tóc	0	206	
Hång ¶nh Tô Chiªu	0	207	
TuÖ Thanh	0	208	
Duyªn Qu©n	0	209	
[Hoµn Mü] An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	210	
[Hoµn Mü] An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	211	
[Hoµn Mü] An Bang §iÒn Hoµng Th¹ch Ngäc Béi	0	212	
[Hoµn Mü] An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	213	
Vinh DiÖu Chi Y	0	214	
Tinh ChuÈn Chi Ngoa	0	215	
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	216	
An Bang Cóc hoa Th¹ch chØ hoµn	0	217	
An Bang §iÒn Hoµng th¹ch ngäc béi	0	218	
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	219	
[§Þnh thêi] Méng Long ChÝnh Hoµng T¨ng M·o	0	220	
[§Þnh thêi] Méng Long Kim Ty ChÝnh Hång Cµ Sa	0	221	
[§Þnh thêi] HuyÒn ThiÕt Ph¸t §¸i	0	222	
[§Þnh thêi] PhËt Ph¸p HuyÒn Béi	0	223	
[§Þnh thêi] Méng Long §¹t Ma T¨ng Hµi	0	224	
[§Þnh thêi] Phôc Ma Tö Kim C«n	0	225	
[§Þnh thêi] Phôc Ma HuyÒn Hoµng Cµ Sa	0	226	
[§Þnh thêi] Phôc Ma ¤ Kim NhuyÔn Thao	0	227	
[§Þnh thêi] Phôc Ma PhËt T©m NhuyÔn KhÊu	0	228	
[§Þnh thêi] Phôc Ma Phæ §é T¨ng Hµi	0	229	
[§Þnh thêi] Tø Kh«ng Gi¸ng Ma Giíi §ao	0	230	
[§Þnh thêi] Tø Kh«ng Tö Kim Cµ Sa	0	231	
[§Þnh thêi] Tø Kh«ng Hé Ph¸p Yªu §¸i	0	232	
[§Þnh thêi] Tø Kh«ng NhuyÔn B× Hé UyÓn	0	233	
[§Þnh thêi] Tø Kh«ng Giíi LuËt Ph¸p Giíi	0	234	
[§Þnh thêi] H·m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	235	
[§Þnh thêi] H·m Thiªn Vâ ThÇn T­¬ng Kim Gi¸p	0	236	
[§Þnh thêi] H·m Thiªn Uy Vò Thóc Yªu Hoµn	0	237	
[§Þnh thêi] H·m Thiªn Hæ §Çu KhÈn Thóc UyÓn	0	238	
[§Þnh thêi] H·m Thiªn Thõa Long ChiÕn Ngoa	0	239	
[§Þnh thêi] Tôc NghiÖp B«n L«i Toµn Long Th­¬ng	0	240	
[§Þnh thêi] Tôc NghiÖp HuyÒn Vâ Hoµng Kim Kh¶i	0	241	
[§Þnh thêi] Tôc NghiÖp B¹ch Hæ V« Song KhÊu	0	242	
[§Þnh thêi] Tôc NghiÖp Háa V©n Kú L©n Thñ	0	243	
[§Þnh thêi] Tôc NghiÖp Chu T­íc L¨ng V©n Ngoa	0	244	
[§Þnh thêi] Ngù Long L­îng Ng©n B¶o §ao	0	245	
[§Þnh thêi] Ngù Long ChiÕn ThÇn Qua Trôy	0	246	
[§Þnh thêi] Ngù Long Long Thiªn M«n Thóc Yªu Hoµn	0	247	
[§Þnh thêi] Ngù Long TÊn Phong Hé UyÓn	0	248	
[§Þnh thêi] Ngù Long TuyÖt MÖnh ChØ Hoµn	0	249	
[§Þnh thêi] V« Gian û Thiªn KiÕm	0	250	
[§Þnh thêi] V« Gian Thanh Phong Tri Y	0	251	
[§Þnh thêi] V« Gian PhÊt V©n Ty §¸i	0	252	
[§Þnh thêi] V« Gian CÇm VËn Hé UyÓn	0	253	
[§Þnh thêi] V« Gian B¹ch Ngäc Ban ChØ	0	254	
[§Þnh thêi] V« Ma Ma Ni Qu¸n	0	255	
[§Þnh thêi] V« Ma Tö Kh©m Cµ Sa	0	256	
[§Þnh thêi] V« Ma B¨ng Tinh ChØ Hoµn	0	257	
[§Þnh thêi] V« Ma TÈy T­îng Ngäc KhÊu	0	258	
[§Þnh thêi] V« Ma Hång Tri NhuyÔn Th¸p Hµi	0	259	
[§Þnh thêi] V« TrÇn Ngäc N÷ Tè T©m Qu¸n	0	260	
[§Þnh thêi] V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	261	
[§Þnh thêi] V« TrÇn Tõ Bi Ngäc Ban ChØ	0	262	
[§Þnh thêi] V« TrÇn PhËt T©m Tõ Hùu Yªu Phèi	0	263	
[§Þnh thêi] V« TrÇn PhËt Quang ChØ Hoµn	0	264	
[§Þnh thêi] Thª Hoµng Phông Nghi §ao	0	265	
[§Þnh thêi] Thª Hoµng TuÖ T©m Kinh Sa Y	0	266	
[§Þnh thêi] Thª Hoµng Phong TuyÕt B¹ch V©n Yªu §¸i	0	267	
[§Þnh thêi] Thª Hoµng B¨ng Tuy CÈm UyÓn	0	268	
[§Þnh thêi] Thª Hoµng Thóy Ngäc ChØ Hoµn	0	269	
[§Þnh thêi] BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao	0	270	
[§Þnh thêi] BÝch H¶i Hoµn Ch©u Vò Liªn	0	271	
[§Þnh thêi] BÝch H¶i Hång Linh Kim Ty §¸i	0	272	
[§Þnh thêi] BÝch H¶i Hång Linh Ba	0	273	
[§Þnh thêi] BÝch H¶i Tiªm TÕ ChØ Hoµn	0	274	
[§Þnh thêi] U Lung Kim Xµ Ph¸t §¸i	0	275	
[§Þnh thêi] U Lung XÝch H¹t BÝ Trang	0	276	
[§Þnh thêi] U Lung Thanh Ng« TriÒn Yªu	0	277	
[§Þnh thêi] U Lung Ng©n ThiÒm Hé Thñ	0	278	
[§Þnh thêi] U Long MÆc Thï NhuyÔn L÷	0	279	
[§Þnh thêi] Minh Hoan Tµ S¸t §éc §ao	0	280	
[§Þnh thêi] Vô Ho¸n U Cæ ¸m Y	0	281	
[§Þnh thêi] Vô Ho¸n §éc H¹t ChØ Hoµn	0	282	
[§Þnh thêi] Vô Ho¸n Hñ Cèt Hé UyÓn	0	283	
[§Þnh thêi] Vô Ho¸n Song Hoµn Xµ Hµi	0	284	
[§Þnh thêi] Chó Phäc Ph¸ Gi¸p §Çu Hoµn	0	285	
[§Þnh thêi] Chó Phäc DiÖt L«i C¶nh Phï	0	286	
[§Þnh thêi] Chó Phäc U Hoan ChØ Hoµn	0	287	
[§Þnh thêi] Chó Phäc Xuyªn T©m §éc UyÓn	0	288	
[§Þnh thêi] Chó Phäc B¨ng Háa Thùc Cèt Ngoa	0	289	
[§Þnh thêi] B¨ng Hµn §µn ChØ Phi §ao	0	290	
[§Þnh thêi] B¨ng Hµn HuyÒn y Thóc Gi¸p	0	291	
[§Þnh thêi] B¨ng Hµn T©m TiÔn Yªu KhÊu	0	292	
[§Þnh thêi] B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	0	293	
[§Þnh thêi] B¨ng Hµn NguyÖt ¶nh Ngoa	0	294	
[§Þnh thêi] Thiªn Quang Hoa Vò M¹n Thiªn	0	295	
[§Þnh thêi] Thiªn Ngoa §Þnh T©m Ng­ng ThÇn Phï	0	296	
[§Þnh thêi] Thiªn Ngoa S©m La Thóc Yªu	0	297	
[§Þnh thêi] Thiªn Ngoa Phong B·o Hµn ThiÕt Träc	0	298	
[§Þnh thêi] Thiªn Ngoa Thóc Thiªn Phäc §Þa Hoµn	0	299	
[§Þnh thêi] S©m Hoang Phi Tinh §o¹t Hån	0	300	
[§Þnh thêi] S©m Hoang Kim TiÒn Liªn Hoµn Gi¸p	0	301	
[§Þnh thêi] S©m Hoang Hån Gi¶o Yªu Thóc	0	302	
[§Þnh thêi] S©m Hoang HuyÒn ThiÕt T­¬ng Ngäc Béi	0	303	
[§Þnh thêi] S©m Hoang Tinh V©n Phi L÷	0	304	
[§Þnh thêi] §Þa Ph¸ch Ngò Hµnh Liªn Hoµn Qu¸n	0	305	
[§Þnh thêi] §Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	0	306	
[§Þnh thêi] §Þa Ph¸ch TÞch LÞch L«i Háa Giíi	0	307	
[§Þnh thêi] §Þa Ph¸ch KhÊu T©m Träc	0	308	
[H¹n chÕ thêi gian] §Þa Ph¸ch Phong Hµn Thóc Yªu	0	309	
[H¹n chÕ thêi gian] §ång Cõu Ngù Long Ngäc Béi	0	310	
[§Þnh thêi] §ång Cøu Gi¸ng Long C¸i Y	0	311	
[§Þnh thêi] §ång Cõu TiÒm Long Yªu §¸i	0	312	
[§Þnh thêi] §ång Cõu Kh¸ng Long Hé Thñ	0	313	
[§Þnh thêi] §ång Cõu KiÕn Long Ban ChØ	0	314	
[§Þnh thêi] §Þch Kh¸i Lôc Ngäc Tr­îng	0	315	
[§Þnh thêi] §Þch Kh¸i Cöu §¸i C¸i Y	0	316	
[§Þnh thêi] §Þch Kh¸i Phôc M·ng Yªu §¸i	0	317	
[§Þnh thêi] §Þch Kh¸i CÈu TÝch B× Hé UyÓn	0	318	
[§Þnh thêi] §Þch Kh¸i Th¶o Gian Th¹ch Giíi	0	319	
[§Þnh thêi] Ma S¸t Quû Cèc U Minh Th­¬ng	0	320	
[§Þnh thêi] Ma S¸t Tµn D­¬ng ¸nh HuyÕt Gi¸p	0	321	
[§Þnh thêi] Ma S¸t XÝch Ký Táa Yªu KhÊu	0	322	
[§Þnh thêi] Ma S¸t Cö Háa Liªu Thiªn UyÓn	0	323	
[§Þnh thêi] Ma S¸t V©n Long Thæ Ch©u Giíi	0	324	
[§Þnh thêi] Ma Hoµng Kim Gi¸p Kh«i	0	325	
[§Þnh thêi] Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn	0	326	
[§Þnh thêi] Ma Hoµng Khª Cèc Thóc Yªu §¸i	0	327	
[§Þnh thêi] Ma Hoµng HuyÕt Y Thó Träc	0	328	
[§Þnh thêi] Ma Hoµng §¨ng §¹p Ngoa	0	329	
[§Þnh thêi] Ma ThÞ LiÖt Háa Qu¸n MiÖn	0	330	
[§Þnh thêi] Ma ThÞ LÞch Ma PhÖ T©m Liªn	0	331	
[§Þnh thêi] Ma ThÞ NghiÖp Háa U Minh Giíi	0	332	
[§Þnh thêi] Ma ThÞ HuyÕt Ngäc ThÊt S¸t Béi	0	333	
[§Þnh thêi] Ma Hoµng S¬n H¶i Phi Hång L÷	0	334	
[§Þnh thêi] L¨ng Nh¹c Th¸i Cùc KiÕm	0	335	
[§Þnh thêi] L¨ng Nh¹c V« Ng· §¹o Bµo	0	336	
L¨ng Nh¹c Né L«i Giíi (kú h¹n)	0	337	
[§Þnh thêi] L¨ng Nh¹c V« Cùc HuyÒn Ngäc Béi	0	338	
[§Þnh thêi] L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng Giíi	0	339	
[§Þnh thêi] CËp Phong Ch©n Vâ KiÕm	0	340	
[§Þnh thêi] CËp Phong Tam Thanh Phï	0	341	
[§Þnh thêi] CËp Phong HuyÒn Ty Tam §o¹n CÈm	0	342	
[§Þnh thêi] CËp Phong Thóy Ngäc HuyÒn Hoµng Béi	0	343	
[§Þnh thêi] CËp Phong Thanh Tïng Ph¸p Giíi	0	344	
[§Þnh thêi] S¬n Tinh Thiªn Niªn Hµn ThiÕt	0	345	
[§Þnh thêi] S­¬ng Tinh Ng¹o S­¬ng §¹o Bµo	0	346	
[§Þnh thêi] S­¬ng Tinh Thanh Phong L÷ §¸i	0	347	
[§Þnh thêi] S­¬ng Tinh Thiªn Thanh B¨ng Tinh Thñ	0	348	
[§Þnh thêi] S­¬ng Tinh Phong B¹o ChØ Hoµn	0	349	
[§Þnh thêi] L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n	0	350	
[§Þnh thêi] L«i Khung Thiªn §Þa Hé Phï	0	351	
[§Þnh thêi] L«i Khung Phong TuyÕt Thanh CÈm §¸i	0	352	
[§Þnh thêi] L«i Khung Linh Ngäc UÈn L«i	0	353	
[§Þnh thêi] L«i Khung Cöu Thiªn DÉn L«i Giíi	0	354	
[§Þnh thêi] Vô Ho¸n B¾c Minh §¹o Qu¸n	0	355	
[§Þnh thêi] Vô Hoan Ki Ban Phï Chó	0	356	
[§Þnh thêi] Vô Hoan Thóc T©m ChØ Hoµn	0	357	
[§Þnh thêi] Vô Hoan Thanh ¶nh HuyÒn Ngäc Béi	0	358	
[§Þnh thêi] Vô Hoan Tïng Phong TuyÕt ¶nh Ngoa	0	359	
[§Þnh thêi] §éng S¸t B¹ch Kim §iªu Long Giíi	0	360	
[§Þnh thêi] §éng S¸t B¹ch Ngäc Cµn Kh«n Béi	0	361	
[§Þnh thêi] §éng S¸t B¹ch Kim Tó Phông Giíi	0	362	
[§Þnh thêi] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn	0	363	
[§Þnh thêi] §¹i M· Hæ TrÝch Tinh Hoµn	0	364	
[§Þnh thêi] §¹i M· Hæ §­êng Nghª Gi¸p	0	365	
[§Þnh thêi] §¹i M· Hæ Lôc PhØ Thóy Hé Th©n Phï	0	366	
[§Þnh thêi] §¹i M· Hæ B¾c Kinh Chi Méng	0	367	
[§Þnh thêi] §¹i M· Hæ B¹ch Kim Yªu §¸i	0	368	
[§Þnh thêi] §¹i M· Hæ Thiªn Tµm Hé UyÓn	0	369	
[§Þnh thêi] §¹i M· Hæ Ngò S¾c Ngäc Béi	0	370	
[§Þnh thêi] §¹i M· Hæ Thiªn Tµm Ngoa	0	371	
[§Þnh thêi] §¹i M· Hæ Nh· §iÓn Chi Hån	0	372	
[§Þnh thêi] §¹i M· Hæ B«n L«i Toµn Long Th­¬ng	0	373	
[§Þnh thêi] Hång ¶nh TrÇm Viªn V·n Tóy	0	374	
[§Þnh thêi] Hång ¶nh KiÕm Qua T©y Ph­¬ng	0	375	
[§Þnh thêi] Hång ¶nh Môc Tóc T­¬ng Vong	0	376	
[§Þnh thêi] Hång ¶nh Hång Tô Chiªu	0	377	
[§Þnh thêi] ThÕ Tóc Kim Giíi	0	378	
[§Þnh thêi] ThÕ Tóc Ng©n Giíi	0	379	
[§Þnh thêi] §Þnh Quèc Thanh Sa Tr­êng Sam	0	380	
[§Þnh thêi] §Þnh Quèc Thanh Sa Ph¸t Qu¸n	0	381	
[§Þnh thêi] §Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	0	382	
