STT	Tr¶ lêi	C©u Hái		B	C	D
85	A	Chñ D­îc §iÕm t¹i c¸c thµnh thÞ b¸n bao nhiªu lo¹i thuèc?	17	16	15	18
86	A	Cã bao nhiªu thµnh dïng ®Ó ngåi tï gi¶m PK?	2	1	3	4
87	A	Mét bé Kim Phong gåm bao nhiªu mãn?	9	8	10	7
88	A	§Ó ®i §¶o TÈy Tñy nh©n vËt cÇn nh÷ng vËt phÈm g×?	TÊt c¶ ®Òu ®óng	6 Tinh Hång B¶o Th¹ch	3 Thñy Tinh vµ 6 Tinh Hång B¶o Th¹ch	3 Thñy Tinh
89	A	Cã bao nhiªu NPC ThÇn BÝ Th­¬ng Nh©n t¹i ThÊt ®¹i thµnh thÞ?	3	2	1	4
90	A	Chøc n¨ng NPC C«ng B×nh Tö dïng ®Ó lµm g×?	L«i §µi	V­ît ¶i 	TÝn sø	Liªn ®Êu
91	A	Cã thÓ ®æi ®iÓm tÝch lòy liªn ®Êu lÊy vËt phÈm t¹i NPC nµo?	Sø gi¶ liªn ®Êu (Nam)	Vâ L©m TruyÒn Nh©n	Sø gi¶ liªn ®Êu (N÷)	NhiÕp ThÝ TrÇn
92	A	Cã mÊy m«n ph¸i kh«ng cã tèc ®é xuÊt chiªu trong trÊn ph¸i? 	4	3	5	6
93	A	Ng­êi b¸n chiÕn m· ë Nam Nh¹c trÊn tªn lµ?	ThÈm C©u	Xa Phu	Th­¬ng nh©n thÇn bÝ	Sø gi¶ vâ l©m
94	A	HuyÒn Gi¸c §¹i s­ khi bÞ ®¸nh b¹i cã thÓ r¬i ra vËt phÈm?	TÊt c¶ ®Òu ®óng	Thñy tinh	Tinh hång b¶o th¹ch	Phôc ma Tö Kim c«n
95	A	Hµ Linh Phiªu khi bÞ ®¸nh b¹i cã thÓ r¬i ra vËt phÈm?	V« Ma tÈy t­îng ngäc khÊu	V« TrÇn Thanh T©m h­íng thiÖn ch©u	V« Gian û thiªn kiÕm	V« gian tÈy t­îng ngäc khÊu
96	A	LiÔu Thanh Thanh khi bÞ ®¸nh b¹i cã thÓ r¬i ra vËt phÈm?	TÊt c¶ ®Òu ®óng	TÈy tñy kinh	Tö Thñy Tinh	Vâ L©m MËt tÞch
97	A	§o¹n Méc DuÖ khi bÞ ®¸nh b¹i cã thÓ r¬i ra vËt phÈm?	Ma S¸t QuØ cèc u minh th­¬ng	CËp phong ch©n vò kiÕm	S­¬ng Tinh thiªn niªn hµn thiÕt	Tø kh«ng gi¸ng ma giíi ®ao
98	A	Thanh TuyÖt S­ Th¸i khi bÞ ®¸nh b¹i cã thÓ r¬i ra vËt phÈm?	TÊt c¶ ®Òu ®óng	V« TrÇn Thanh T©m h­íng thiÖn ch©u	Nga My mËt tÞch	V« Gian û thiªn kiÕm
99	A	DiÖu Nh­ lµ m«n ®Ö cña ph¸i nµo?	Nga My	Thóy Yªn	Vâ §ang	§­êng M«n
100	A	§¹o Thanh Ch©n Nh©n khi bÞ ®¸nh b¹i cã thÓ r¬i ra vËt phÈm?	CËp phong tam thanh phï	CËp phong ch©n vò kiÕm	V« Gian û thiªn kiÕm	TÊt c¶ ®Òu ®óng
101	A	Tr­¬ng T«ng ChÝnh lµ m«n ®Ö cña?	Vâ §ang	Nga My	thiÕu l©m	Thiªn v­¬ng bang 
102	A	Gia LuËt TÞ Ly khi bÞ ®¸nh b¹i cã thÓ r¬i ra vËt phÈm?	Ma hoµng ¸n xuÊt hæ h¹ng khuyªn	Ma S¸t QuØ cèc u minh th­¬ng	CËp phong tam thanh phï	V« gian tÈy t­îng ngäc khÊu
103	A	Yªn HiÓu Tr¸i  khi bÞ ®¸nh b¹i cã thÓ r¬i ra vËt phÈm?	Tª hoµng phông nghi ®ao	Tª hoµng b¨ng tung hé uyÓn	Nhu t×nh c©n quèc nghª th­êng	BÝch h¶i uyªn ­¬ng liªn hoµn ®ao
104	A	Ch­ëng m«n Nga My lµ?	Thanh TuyÖt s­ th¸i	Chung Linh Tó	Hµ Linh Phiªu	DiÖu Nh­
105	A	Ch­ëng m«n Vâ §ang lµ?	§¹o NhÊt ch©n nh©n	§¹o Thanh ch©n nh©n	Thanh H­ ch©n nh©n	Thanh V©n ®¹o tr­ëng
106	A	M«n chñ §­êng m«n lµ?	§­êng cõu	§­êng Háa	§­êng BÊt nhiÔm	§­êng V©n
107	A	Bang chñ Thiªn v­¬ng bang lµ?	D­¬ng Anh	V­¬ng T¸	Gia LuËt TÞ Ly	Hµ Linh Phiªu
108	A	Ch­ëng m«n C«n L«n lµ?	TuyÒn C¬ Tö	§¹o Thanh Ch©n Nh©n	Thiªn C¬ Tö	Thanh Linh Tö
109	A	Gi¸o chñ Ngò ®éc lµ?	H¾c DiÖn Lang Qu©n	§éc ThÝch	§«c DiÖn Lang Qu©n	Tang Chu
110	A	Ph­¬ng tr­îng ThiÕu L©m?	HuyÒn Tõ §¹i s­	HuyÒn Gi¸c ®¹i s­	Tõ V©n Ph¸p S­	Tõ V©n §¹i S­
111	A	Ch­ëng m«n Thóy Yªn lµ?	Do·n Hµm Yªn	Hoµn Nhan TuyÕt Y	Yªn HiÓu Tr¸i	Hµ Linh Phiªu
112	A	Bang chñ C¸i bang lµ?	Hµ Nh©n Ng·	Cöu ChØ ThÇn C¸i	Hång Th«ng	M¹nh Th­¬ng L­¬ng
113	A	Gi¸o chñ Thiªn nhÉn lµ?	Hoµng Nhan Hång LiÖt	Hoµng Nhan TuyÕt Y	Hoµng Nhan Khang	Hoµng Nhan A Cèt §¶
114	A	Gi¸n ®iÖp Kim quèc ë T­¬ng D­¬ng lµ?	L­u UÈn cæ	B¹ch C«ng Tö	Ng« L·o th¸i	Kim Quèc vâ sÜ
115	A	M¸y chñ nµo ®o¹t h¹ng 1 ë gi¶i THDNB lÇn 5	Ch©uGiang	Tr­êngGiang	Thiªn S¬n	Cöu Giang
116	A	Dïng bao nhiªu ®iÓm tÝch lòy trong nhiÖm vô tÝn sø ®Ó ®æi lÊy Hång ¶nh Tô Chiªu?	50000	40000	60000	500000
117	A	Dïng bao nhiªu ®iÓm tÝch lòy trong nhiÖm vô tÝn sø ®Ó ®æi lÊy Hång ¶nh Môc Tóc T­¬ng Vong?	70000	60000	50000	80000
118	A	Dïng bao nhiªu ®iÓm tÝch lòy trong nhiÖm vô tÝn sø ®Ó ®æi lÊy Hång ¶nh KiÕm Qua T©y Ph­¬ng?	70000	50000	60000	40000
119	A	Dïng bao nhiªu ®iÓm tÝch lòy trong nhiÖm vô tÝn sø ®Ó ®æi lÊy Hång ¶nh TrÇm Viªn V·n Tóy?	100000	10000	1000000	1000
120	A	Trong tÝn sø, khi b¹n cã danh hiÖu lµ TÝn Sø-Méc th× th× b¹n cã thÓ mua ®­îc TÝn Sø lÖnh bµi nµo?	TÝn sø lÖnh bµi - Méc	TÝn sø lÖnh bµi - §ång	TÝn sø lÖnh bµi - B¹c	TÝn sø lÖnh bµi - Vµng
121	A	Mçi tÝn sø yªu bµi ®­îc sù dông bao nhiªu lÇn?	5	3	4	2
122	A	Ngù Tø tÝn sø lÖnh bµi Vµng khi sö dông phôc håi bao nhiªu ®iÓm ©m trong phÇn kh¸ng ngò hµnh?	30	20	10	40
123	A	Trong hÖ thèng ngò hµnh t­¬ng sinh, th× hÖ Méc t¹o ra hÖ g× ?	Háa	Thñy 	Kim	Thæ
124	A	Trong hÖ thèng ngò hµnh t­¬ng sinh, th× hÖ Háa t¹o ra hÖ g× ?	Thæ	Thñy 	Méc	Kim
125	A	Trong hÖ thèng ngò hµnh t­¬ng sinh, th× hÖ Thæ t¹o ra hÖ g× ?	Kim	Thñy 	Háa	Méc
126	A	Trong hÖ thèng ngò hµnh t­¬ng sinh, th× hÖ Kim t¹o ra hÖ g× ?	Thñy 	Méc	Háa	Thæ
127	A	Trong hÖ thèng ngò hµnh t­¬ng sinh, th× hÖ Thñy t¹o ra hÖ g× ?	Méc	Kim	Háa	Thæ
128	A	Trong phÇn trang bÞ, th× trang bÞ vò khÝ cã thÓ kÝch ®­îc trang bÞ nµo trªn ng­êi ?	Giµy - nhÉn trªn 	NhÉn d­íi - th¾t l­ng 	D©y chuyÒn - trang phôc	Ngäc béi - bao tay
129	A	Trong phÇn trang bÞ, th× nhÉn d­íi ®­îc trang bÞ nµo kÝch thuéc tÝnh Èn?	Ngäc béi - bao tay	Giµy - nhÉn trªn 	Trang phôc - d©y chuyÒn	Mò - vò khÝ
130	A	Trong hÖ thèng ngò hµnh, th× hÖ nµo kh«ng cã nh©n vËt Nam?	Thñy	Méc	Háa	Kim
131	A	Trong hÖ thèng ngò hµnh, th× hÖ nµo kh«ng cã nh©n vËt N÷?	Kh«ng cã hÖ nµo	Kim 	Háa	Thæ 
132	A	B¹n cÊp tõ 90-120, muèn tham gia thi liªn ®Êu th× ph¶i tíi NPC Sø Gi¶ Liªn §Êu thµnh nµo ®Ó b¸o danh?	BiÖn Kinh	T­¬ng D­¬ng 	Thµnh §«	L©m An
133	A	B¹n tõ cÊp 120 trë lªn, muèn tham gia thi liªn ®Êu th× ph¶i tíi NPC Sø Gi¶ Liªn §Êu thµnh nµo ®Ó b¸o danh?	Thµnh §«	BiÖn Kinh	L©m An	§¹i Lý
134	A	Ngåi tï bao l©u th× sÏ gi¶m ®­îc 1 PK?	2h	1h	30'	4h
135	A	Theo giíi h¹n 5 giê ch¬I trong vâ l©m, th× 3 giê ®Çu tiªn ng­êi ch¬i ®­îc h­ëng bao nhiªu % ®iÓm kinh nghiÖm khi ®¸nh qu¸i?	100%	50%	150%	200%
136	A	Theo c¸ch gäi cña nhiÒu ng­êi th× "cô ®å ChiÓu" ®­îc hiÓu lµ ai?	 NguyÔn §×nh ChiÓu	Lª V¨n ChiÓu	TrÇn §×nh ChiÓu	NguyÔn V¨n ChiÓu
137	A	Con ng­êi ®Æt ch©n lªn mÆt tr¨ng lÇn ®Çu tiªn vµo n¨m nµo?	1969	1968	1970	1971
138	A	Khæng Tö, ng­êi thÇy cña mäi thêi ®¹i sèng vµo thÕ kû nµo tr­íc c«ng nguyªn?	6	5	4	7
139	A	N­íc ta cã bao nhiªu d©n téc?	54	52	50	56
140	A	Liªn HiÖp Quèc ®­îc thµnh lËp vµo n¨m nµo?	1945	1941	1943	1939
141	A	Cã bao nhiªu n­íc tham gia thµnh lËp Liªn HiÖp Quèc?	51	55	59	63
142	A	§iÖn tho¹i ®­îc ph¸t minh vµo n¨m nµo?	1876	1886	1900	1976
143	A	Pasteur ph¸t minh ra v¾c xin ngõa bÖnh d¹i vµo n¨m nµo?	1888	1878	1898	1908
144	A	Hä ®Çu tiªn ë n­íc ta lµ g×?	Hång Bµng	TriÖu	Ng« 	D­¬ng 
145	A	Cuéc ®Êu tranh ®ßi nhµ cÇm quyÒn Ph¸p th¶ cô Phan Béi Ch©u diÔn ra vµo n¨m nµo?	1919	1924	1929	1934
146	A	Vua Quang Trung b¨ng hµ vµo n¨m nµo?	1799	1793	1805	1811
147	A	Ai lµ ng­êi dêi ®« tõ Hoa L­ vÒ Th¨ng Long n¨m 1010?	Lý Th¸i Tæ	Lª Th¸i Tæ	Lý Nam §Õ	Lý Th­êng KiÖt
148	A	Kú quan nµo kh«ng n»m trong 7 kú quan ThÕ Giíi cæ ®¹i?	V¹n Lý Tr­êng Thµnh	Khu l¨ng mé Giza	H¶i ®¨ng Alexandria	TÊt c¶ c©u tr¶ lêi trªn ®Òu sai
149	A	C©n ®­îc ph¸t minh ®Çu tiªn bëi c­ d©n cña n­íc nµo?	Ai cËp	Trung Quèc	Ên ®é	ViÖt cæ
150	A	V¨n MiÕu, tr­êng ®¹i häc ®Çu tiªn cña ViÖt Nam, ®­îc x©y dùng d­íi triÒu ®¹i nµo?	Nhµ Lý	Nhµ TrÇn	Nhµ Ng«	Nhµ NguyÔn
151	A	ViÖt Nam trë thµnh thµnh viªn cña Liªn Hîp Quèc n¨m nµo?	1977	1970	1963	1984
152	A	§Êt n­íc nµo lµ quª h­¬ng cña «ng giµ Noel?	PhÇn Lan	Thôy §iÓn	Mü	Anh
153	A	Thñ ®« n­íc nµo l©u ®êi nhÊt §«ng Nam ¸?	Hµ Néi - ViÖt Nam	Bangkok - Th¸i Lan	Viªn Ch¨n - Lµo	Phnom Penh - Campuchia
154	A	HuÊn luyÖn viªn Alex Feguson cña Mu cã t­íc hiÖu g×?	HiÖp sÜ	B¸ t­íc	T­íng qu©n	§¹i t­íng
155	A	ViÖt Nam v« ®Þch AFF cup n¨m nµo?	2008	2005	1998	2009
156	A	BiÓu t­îng N÷ thÇn tù do lµ cña n­íc nµo?	Mü	Ph¸p	Anh 	NhËt
157	A	N­íc nµo cã h×nh chiÕc ñng?	Italia	Ph¸p	Chi Lª	Trung Quèc
158	A	Ngµy thµnh lËp ®¶ng céng s¶n ViÖt Nam?	Ngµy 3 th¸ng 2	Ngµy 30 th¸ng 4	Ngµy 2 th¸ng 9	Ngµy 8 th¸ng 3
159	A	§¬n vÞ tiÒn tÖ cña Italia?	Euro	Róp	Yªn	TÖ
160	A	§Ønh nói nµo cao nhÊt thÕ giíi?	Everest	Phanxiphang	Makalu	K2
161	A	Sao Kim Venus t­îng tr­ng cho vÞ thÇn nµo?	T×nh yªu	ChiÕn tranh	Hßa b×nh	BiÓn c¶
162	A	Ng«i sao 5 c¸nh trªn quèc k× c¸c quèc gia t­îng tr­ng cho c¸i g× ?	5 ch©u lôc	5 quèc gia	5 hµnh tinh	5 ng«i sao
163	A	H×nh trßn mµu ®á trªn l¸ cê cña NhËt B¶n t­îng tr­ng cho c¸i g×?	MÆt trêi	MÆt tr¨ng	Tr¸i ®Êt	Sao háa
164	A	Rõng nµo cã biªn giíi tù nhiªn tr¶i dµi ®Õn 9 quèc gia?	Amazon	Cóc ph­¬ng	Fontainebleau	§ray S¸p 
165	A	Loµi c©y nµo biÓu t­îng cho søc m¹nh cña Ch©u Phi?	Bao b¸p	Lim	Th«ng	X­¬ng rång
